
Year,Month,tmax,tmin,ppt
2001,1,5.14283,-8.44553,20.78863
2001,2,5.76411,-6.50725,13.67504
2001,3,12.58626,-2.05592,17.50052
2001,4,13.34528,-1.76644,20.53021
2001,5,24.76296,4.8806,3.00252
2001,6,26.45322,7.57981,2.9747
2001,7,30.98278,11.57653,9.49796
2001,8,32.87667,12.13947,1.89301
2001,9,28.76962,7.95521,11.17426
2001,10,20.88642,1.5877,5.72348
2001,11,12.4771,-2.07664,42.8885
2001,12,5.92399,-5.44553,43.57418
2002,1,5.26501,-7.01356,22.2138
2002,2,8.64829,-6.22608,20.93003
2002,3,10.11013,-4.96187,14.53793
2002,4,15.316,0.085,22.32448
2002,5,19.91562,3.08954,9.03481
2002,6,26.7718,8.0208,11.4447
2002,7,32.96045,13.58069,5.16949
2002,8,30.74167,10.3011,3.08841
2002,9,27.08911,7.20905,4.72773
2002,10,18.74578,-0.22052,3.36441
2002,11,12.0208,-3.45679,31.9293
2002,12,7.33414,-4.19525,28.97066
2003,1,9.58837,-2.81888,23.48108
2003,2,6.85298,-6.15061,11.83537
2003,3,11.97598,-1.99999,19.45955
2003,4,11.57259,-0.46872,36.56176
2003,5,20.04701,3.99334,28.18663
2003,6,27.25605,8.42458,3.85881
2003,7,33.88906,13.37576,12.40816
2003,8,31.54756,12.87559,22.07365
2003,9,27.94791,7.91571,9.57956
2003,10,22.50488,3.19969,1.51189
2003,11,8.98743,-3.54538,23.21554
2003,12,6.50433,-3.41573,57.86398
2004,1,4.16082,-6.2492,17.96662
2004,2,5.5183,-4.44326,32.13615
2004,3,15.0442,-1.24304,9.8589
2004,4,16.87205,0.84867,7.74714
2004,5,20.51589,4.29144,23.10404
2004,6,26.42983,8.36392,12.42474
2004,7,32.62334,12.90472,6.02079
2004,8,30.97529,12.79553,13.16749
2004,9,26.11318,7.16179,5.23286
2004,10,17.80387,2.96389,38.902
2004,11,9.30075,-3.14685,32.91515
2004,12,6.34519,-5.42437,30.61489
2005,1,2.86606,-6.7088,32.6421
2005,2,6.37215,-4.31344,16.3128
2005,3,11.70023,-1.9626,30.75508
2005,4,13.71378,-0.20241,18.65625
2005,5,19.17606,5.35394,52.63754
2005,6,23.15649,6.66977,14.28273
2005,7,33.98314,12.82661,2.62118
2005,8,32.10691,12.06451,0.77227
2005,9,25.20415,5.79158,5.22496
2005,10,19.33671,2.50727,13.51762
2005,11,11.66937,-2.80338,27.98984
2005,12,6.03917,-4.45943,82.15035
2006,1,6.48753,-4.46363,45.18255
2006,2,7.86128,-6.50507,18.53746
2006,3,7.37576,-3.96344,27.89544
2006,4,13.71118,1.02842,51.0362
2006,5,21.51468,4.47957,14.99462
2006,6,27.30694,9.2937,7.40599
2006,7,33.95857,13.6496,1.59067
2006,8,30.95134,10.82641,0.70855
2006,9,26.56758,6.50189,1.82413
2006,10,18.78469,0.53057,8.34983
2006,11,11.27882,-2.24746,24.8941
2006,12,5.94441,-7.39603,18.42257
2007,1,4.23307,-10.71489,9.02739
2007,2,7.54869,-4.69474,23.0842
2007,3,13.97209,-2.07854,7.33216
2007,4,15.36251,0.12165,21.95399
2007,5,22.0327,4.10125,7.45838
2007,6,26.9207,8.01354,6.77661
2007,7,33.52186,13.45862,1.97522
2007,8,32.00455,12.15181,1.31259
2007,9,25.4431,6.88842,9.46081
2007,10,17.81321,1.96286,19.25195
2007,11,12.57979,-3.64369,11.48507
2007,12,4.64473,-6.45666,27.72431
2008,1,3.1622,-7.55191,34.03203
2008,2,6.87602,-5.20811,22.26102
2008,3,9.77958,-3.97293,12.86523
2008,4,13.98489,-2.07018,6.71215
2008,5,19.86065,4.30395,33.16966
2008,6,25.85904,7.25883,4.40143
2008,7,32.31336,12.48142,1.32309
2008,8,32.18689,12.88262,0.80621
2008,9,27.82533,7.16853,1.22322
2008,10,20.01125,1.86289,6.03529
2008,11,12.83523,-1.2563,29.39549
2008,12,5.585,-8.34579,27.45777
2009,1,6.50046,-6.71439,21.60647
2009,2,7.07462,-4.6912,15.60447
2009,3,9.88996,-3.38155,16.16211
2009,4,14.50927,-0.76922,15.123
2009,5,22.3586,5.79455,22.29852
2009,6,24.07874,8.12349,43.67522
2009,7,32.79716,12.31089,1.67348
2009,8,30.91717,11.89378,6.74553
2009,9,29.14997,8.84346,0.92834
2009,10,16.59082,0.93378,14.53138
2009,11,12.11769,-4.08082,12.53359
2009,12,2.73351,-9.56183,28.86254
2010,1,6.14757,-3.73974,36.2263
2010,2,7.39695,-3.59049,15.83516
2010,3,10.74785,-3.17363,15.7003
2010,4,12.77332,-1.54024,33.18177
2010,5,16.12362,1.27783,28.60521
2010,6,24.38005,7.79333,13.15838
2010,7,32.42759,11.7098,4.07122
2010,8,30.47362,10.51705,6.84158
2010,9,27.87037,6.65599,5.84813
2010,10,19.11421,4.4176,45.18016
2010,11,10.31392,-3.21705,27.36107
2010,12,6.78923,-3.07488,62.58407
2011,1,6.08788,-6.51436,22.22708
2011,2,5.94491,-7.14569,34.44579
2011,3,9.12939,-1.8504,48.43989
2011,4,12.36206,-0.8773,26.57999
2011,5,16.48533,1.84086,36.99028
2011,6,23.11545,6.24713,35.74922
2011,7,31.14745,11.0497,4.69839
2011,8,32.36072,11.47524,1.26029
2011,9,29.59728,8.65092,4.4454
2011,10,19.82498,2.58341,16.78103
2011,11,10.14487,-3.99491,14.10004
2011,12,7.09283,-9.76589,1.99418
2012,1,8.17512,-7.5896,28.56272
2012,2,7.69484,-5.76171,16.63016
2012,3,10.68473,-2.73311,26.13333
2012,4,15.96211,0.46961,18.66202
2012,5,21.42186,3.66215,9.7174
2012,6,25.39642,6.93485,7.07595
2012,7,32.53566,11.8135,3.16411
2012,8,33.35968,12.52437,2.93264
2012,9,29.16085,7.89683,1.60117
2012,10,20.49541,2.79648,11.92726
2012,11,13.02237,-1.80706,23.23689
2012,12,5.63128,-5.23196,59.51111
2013,1,2.80785,-11.52147,9.66181
2013,2,7.33871,-6.75905,3.34961
2013,3,13.33042,-2.70252,8.67795
2013,4,16.42861,0.11428,13.37535
2013,5,21.08832,4.45242,16.6674
2013,6,27.1933,8.33583,10.3477
2013,7,34.13997,13.39818,8.85404
2013,8,31.55099,11.86578,17.78056
2013,9,25.69612,9.22214,18.98303
2013,10,18.40686,-0.15905,17.82687
2013,11,12.51311,-3.02763,18.25178
2013,12,3.9103,-10.82673,14.96684
2014,1,8.72766,-6.01483,11.32899
2014,2,8.97359,-3.25679,34.1681
2014,3,12.64541,-1.74364,23.77604
2014,4,16.5156,0.25918,14.89197
2014,5,21.85069,4.52719,16.15937
